timestamp,onshore.pot.node1,onshore.pot.node2,offshore.pot.node3,offshore.pot.node4
b'2015-01-01 00:00:00+00:00',0.6161828011757348,0.4222483867640347,0,0
b'2015-01-01 01:00:00+00:00',0.678024559074591,0.7503439697443588,0,0
b'2015-01-01 02:00:00+00:00',0.8045808573869727,0.6172403918520326,0,0
b'2015-01-01 03:00:00+00:00',0.823101485950478,0.746746186390099,0,0
b'2015-01-01 04:00:00+00:00',0.7993570711233429,0.676471582041887,0,0
b'2015-01-01 05:00:00+00:00',0.8156651499175563,1.0,0,0
b'2015-01-01 06:00:00+00:00',0.8169466468140778,1.0,0,0
b'2015-01-01 07:00:00+00:00',0.8099978693185979,1.0,0,0
b'2015-01-01 08:00:00+00:00',0.7739884863128584,1.0,0,0
b'2015-01-01 09:00:00+00:00',0.7670730948460347,1.0,0,0
b'2015-01-01 10:00:00+00:00',0.7628067919925141,1.0,0,0
b'2015-01-01 11:00:00+00:00',0.8074749183099206,1.0,0,0
b'2015-01-01 12:00:00+00:00',0.8315352092977178,1.0,0,0
b'2015-01-01 13:00:00+00:00',0.8503341312135343,1.0,0,0
b'2015-01-01 14:00:00+00:00',0.7844941541939009,0.9075729268194661,0,0
b'2015-01-01 15:00:00+00:00',0.7498670338967953,0.9289080039522358,0,0
b'2015-01-01 16:00:00+00:00',0.7791570563853669,0.9711903102967557,0,0
b'2015-01-01 17:00:00+00:00',0.8394958296569324,0.8960519202344772,0,0
b'2015-01-01 18:00:00+00:00',0.8553571935068964,0.927542933575986,0,0
b'2015-01-01 19:00:00+00:00',0.8332028015177998,0.8495158884559951,0,0
b'2015-01-01 20:00:00+00:00',0.8353619203047147,0.6672849562907427,0,0
b'2015-01-01 21:00:00+00:00',0.8638585756526735,0.9010624820803256,0,0
b'2015-01-01 22:00:00+00:00',0.8922497154172648,0.9147445008149738,0,0
b'2015-01-01 23:00:00+00:00',0.9139381466326469,0.9971309681606779,0,0
b'2015-01-02 00:00:00+00:00',0.9023453344986369,1.0,0,0
b'2015-01-02 01:00:00+00:00',0.9095085428615766,1.0,0,0
b'2015-01-02 02:00:00+00:00',0.9284858499821966,1.0,0,0
b'2015-01-02 03:00:00+00:00',0.9176968100921065,1.0,0,0
b'2015-01-02 04:00:00+00:00',0.8760042153734534,1.0,0,0
b'2015-01-02 05:00:00+00:00',0.8592497181888402,1.0,0,0
b'2015-01-02 06:00:00+00:00',0.8517374114959586,1.0,0,0
b'2015-01-02 07:00:00+00:00',0.8400636437466074,1.0,0,0
b'2015-01-02 08:00:00+00:00',0.8214894519371205,1.0,0,0
b'2015-01-02 09:00:00+00:00',0.7966815085799097,1.0,0,0
b'2015-01-02 10:00:00+00:00',0.7512438172712517,1.0,0,0
b'2015-01-02 11:00:00+00:00',0.7110860863158482,1.0,0,0
b'2015-01-02 12:00:00+00:00',0.6033627559162485,1.0,0,0
b'2015-01-02 13:00:00+00:00',0.5295931731891165,0.4873425955436572,0,0
b'2015-01-02 14:00:00+00:00',0.4252615697886109,0.22287741131717373,0,0
b'2015-01-02 15:00:00+00:00',0.406304475225507,0.1847135209480151,0,0
b'2015-01-02 16:00:00+00:00',0.4749334323152433,0.28938873640388496,0,0
b'2015-01-02 17:00:00+00:00',0.5070345909454943,0.5107694811941738,0,0
b'2015-01-02 18:00:00+00:00',0.48884588299929616,0.9227537600069199,0,0
b'2015-01-02 19:00:00+00:00',0.45221239922601464,0.9165984097164263,0,0
